Group,expgroup,nextDayCFU,Otu001,Otu003,Otu016,Otu004,Otu014,Otu005,Otu009,Otu007,Otu006,Otu002,Otu033,Otu008,Otu043,Otu015,Otu035,Otu013,Otu020,Otu018,Otu025,Otu034,Otu024,Otu021,Otu039,Otu022,Otu059,Otu027,Otu030,Other
021-1D-6,1untr,0,0.606538,0.097,0.045308,0.042231,0.041,0.030538,0.029308,0.023154,0.022538,0.018846,0.007154,0.013308,0.005308,0.002231,0.001,0.001,0.001,0.009615,0.003462,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.019461
021-2D-6,1untr,0,0.593,0.088385,0.089615,0.042231,0.031154,0.010846,0.030538,0.038538,0.020692,0.015154,0.005923,0.011462,0.002231,0.007769,0.001615,0.001,0.004077,0.013308,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.009616
021-3D-6,1untr,0,0.554846,0.096385,0.066846,0.056385,0.029923,0.031154,0.028077,0.029308,0.025615,0.033,0.020077,0.004692,0.004692,0.009615,0.002846,0.001,0.006538,0.002846,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01454
021-4D-6,1untr,0,0.441,0.093923,0.071769,0.036692,0.011462,0.021308,0.018846,0.014538,0.058846,0.108692,0.042231,0.032385,0.006538,0.022538,0.001615,0.001615,0.004692,0.001615,0.003462,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.026233
024-1D-6,1untr,0,0.586231,0.123462,0.031769,0.084077,0.003462,0.029923,0.007154,0.012692,0.020077,0.018231,0.007154,0.002846,0.046538,0.012692,0.001,0.001,0.001615,0.015769,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.012077
024-3D-6,1untr,0,0.453923,0.179462,0.066231,0.111154,0.001615,0.002231,0.006538,0.018846,0.021308,0.052077,0.004692,0.007769,0.002846,0.026231,0.002231,0.004077,0.003462,0.003462,0.001615,0.001615,0.006538,0.004077,0.001,0.002846,0.001,0.001615,0.004692,0.034847
050-1D-6,1untr,0,0.547462,0.140692,0.061308,0.070538,0.001,0.039154,0.013308,0.040385,0.014538,0.031154,0.002846,0.004692,0.001,0.005923,0.004077,0.003462,0.002231,0.004077,0.012077,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.018846
050-2D-6,1untr,0,0.695154,0.113,0.021308,0.057615,0.001615,0.004692,0.002231,0.079769,0.005308,0.006538,0.001,0.002231,0.001615,0.008385,0.001,0.002846,0.001615,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.010848
050-3D-6,1untr,0,0.656385,0.119769,0.004077,0.112385,0.001,0.010231,0.012077,0.029308,0.004692,0.044692,0.001,0.003462,0.001,0.003462,0.001615,0.002846,0.001,0.001,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007153
050-4D-6,1untr,0,0.518538,0.116077,0.044692,0.115462,0.001,0.032385,0.005923,0.053308,0.021923,0.026231,0.001,0.005923,0.004692,0.006538,0.003462,0.004077,0.002846,0.003462,0.007154,0.001615,0.007769,0.004692,0.001,0.001615,0.001,0.003462,0.003462,0.028692
600-1D-6,1untr,0,0.585,0.127769,0.041615,0.067462,0.001,0.001,0.002846,0.039154,0.009,0.103769,0.001615,0.002846,0.001,0.004077,0.009,0.003462,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.01577
