otu,phyla,name
Otu001,Bacteroidetes,Porphyromonadaceae
Otu003,Bacteroidetes,Bacteroides
Otu014,Bacteroidetes,Alistipes
Otu005,Firmicutes,Lactobacillus
Otu011,Firmicutes,Erysipelotrichaceae
Otu006,Verrucomicrobia,Akkermansia
Otu002,Firmicutes,Lachnospiraceae
Otu004,Firmicutes,Ruminococcaceae
Otu016,Actinobacteria,Bifidobacterium
Otu009,Bacteroidetes,Bacteroidetes
Otu007,Proteobacteria,Enterobacteriaceae
Otu024,Proteobacteria,Pseudomonas
Otu019,Firmicutes,Clostridium
Otu018,Firmicutes,Staphylococcus
Otu021,Firmicutes,Streptococcaceae
Otu008,Firmicutes,Clostridiales
Otu015,Actinobacteria,Coriobacteriaceae
Otu027,Firmicutes,Clostridia
Otu013,Firmicutes,Firmicutes
