otu,phyla,name
Otu001,Bacteroidetes,Porphyromonadaceae
Otu002,Firmicutes,Lachnospiraceae
Otu003,Bacteroidetes,Bacteroides
Otu004,Firmicutes,Ruminococcaceae
Otu005,Firmicutes,Lactobacillus
Otu006,Verrucomicrobia,Akkermansia
Otu007,Proteobacteria,Enterobacteriaceae
Otu008,Firmicutes,Clostridiales
Otu009,Bacteroidetes,Bacteroidetes
Otu011,Firmicutes,Erysipelotrichaceae
Otu013,Firmicutes,Firmicutes
Otu014,Bacteroidetes,Alistipes
Otu015,Actinobacteria,Coriobacteriaceae
Otu016,Actinobacteria,Bifidobacterium
Otu017,Tenericutes,Anaeroplasma
Otu018,Firmicutes,Staphylococcus
Otu019,Firmicutes,Clostridium sensu stricto
Otu021,Firmicutes,Streptococcaceae
Otu024,Proteobacteria,Pseudomonas
